shop_name,shop_price,shop_product_url,shop_image_url,shop_sku,shop_categories,shop_tags,shop_stock_qty,shop_stock_text,shop_description,shop_page
Metapod,148.0,https://scrapeme.live/shop/Metapod/,https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png,2072,"Cocoon, Pokemon","Cocoon, metapod, Shed Skin",285,285 in stock,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell. Description The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,1
Butterfree,162.0,https://scrapeme.live/shop/Butterfree/,https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png,9507,"Butterfly, Pokemon","Butterfly, butterfree, Compound Eyes",242,242 in stock,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest. Description Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",1
Weedle,25.0,https://scrapeme.live/shop/Weedle/,https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png,7525,"Hairy Bug, Pokemon","Hairy Bug, Shield Dust, weedle",65,65 in stock,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose). Description Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,1
Kakuna,148.0,https://scrapeme.live/shop/Kakuna/,https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png,1049,"Cocoon, Pokemon","Cocoon, kakuna, Shed Skin",260,260 in stock,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch. Description Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",1
Beedrill,168.0,https://scrapeme.live/shop/Beedrill/,https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png,6542,"Poison Bee, Pokemon","beedrill, Poison Bee, Swarm",125,125 in stock,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm. Description Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",1
Pidgey,159.0,https://scrapeme.live/shop/Pidgey/,https://scrapeme.live/wp-content/uploads/2018/08/016-350x350.png,9452,"Pokemon, Tiny Bird","Keen Eye, pidgey, Tiny Bird",175,175 in stock,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings. Description Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",1
Pidgeotto,84.0,https://scrapeme.live/shop/Pidgeotto/,https://scrapeme.live/wp-content/uploads/2018/08/017-350x350.png,1150,"Bird, Pokemon","Bird, Keen Eye, pidgeotto",120,120 in stock,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws. Description Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",2
Pidgeot,185.0,https://scrapeme.live/shop/Pidgeot/,https://scrapeme.live/wp-content/uploads/2018/08/018-350x350.png,8462,"Bird, Pokemon","Bird, Keen Eye, pidgeot",90,90 in stock,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon. Description This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",2
Rattata,128.0,https://scrapeme.live/shop/Rattata/,https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png,1009,"Mouse, Pokemon","Mouse, rattata, Run Away",16,16 in stock,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere. Description Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",2
Raticate,60.0,https://scrapeme.live/shop/Raticate/,https://scrapeme.live/wp-content/uploads/2018/08/020-350x350.png,5745,"Mouse, Pokemon","Mouse, raticate, Run Away",204,204 in stock,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses. Description Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",2
Spearow,133.0,https://scrapeme.live/shop/Spearow/,https://scrapeme.live/wp-content/uploads/2018/08/021-350x350.png,1591,"Pokemon, Tiny Bird","Keen Eye, spearow, Tiny Bird",46,46 in stock,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger. Description Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",2
Fearow,95.0,https://scrapeme.live/shop/Fearow/,https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png,9127,"Beak, Pokemon","Beak, fearow, Keen Eye",276,276 in stock,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey. Description Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,2
Ekans,55.0,https://scrapeme.live/shop/Ekans/,https://scrapeme.live/wp-content/uploads/2018/08/023-350x350.png,5690,"Pokemon, Snake","ekans, Shed Skin, Snake",120,120 in stock,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head. Description Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,2
Arbok,182.0,https://scrapeme.live/shop/Arbok/,https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png,9230,"Cobra, Pokemon","arbok, Cobra, Shed Skin",248,248 in stock,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible. Description This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",2
Pikachu,37.0,https://scrapeme.live/shop/Pikachu/,https://scrapeme.live/wp-content/uploads/2018/08/025-350x350.png,1333,"Mouse, Pokemon","Mouse, pikachu, Static",254,254 in stock,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up. Description This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,2
Raichu,140.0,https://scrapeme.live/shop/Raichu/,https://scrapeme.live/wp-content/uploads/2018/08/026-350x350.png,3488,"Mouse, Pokemon","Mouse, raichu, Static",215,215 in stock,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity. Description This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,2
Sandshrew,82.0,https://scrapeme.live/shop/Sandshrew/,https://scrapeme.live/wp-content/uploads/2018/08/027-350x350.png,9134,"Mouse, Pokemon","Mouse, Sand Veil, sandshrew",100,100 in stock,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep. Description Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",2
Sandslash,155.0,https://scrapeme.live/shop/Sandslash/,https://scrapeme.live/wp-content/uploads/2018/08/028-350x350.png,4747,"Mouse, Pokemon","Mouse, Sand Veil, sandslash",236,236 in stock,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws. Description Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",2
Nidorina,28.0,https://scrapeme.live/shop/Nidorina/,https://scrapeme.live/wp-content/uploads/2018/08/030-350x350.png,9779,"Poison Pin, Pokemon","nidorina, Poison Pin, Poison Point",58,58 in stock,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others. Description When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",2
Nidoqueen,106.0,https://scrapeme.live/shop/Nidoqueen/,https://scrapeme.live/wp-content/uploads/2018/08/031-350x350.png,6614,"Drill, Pokemon","Drill, nidoqueen, Poison Point",153,153 in stock,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young. Description Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,2
Nidorino,179.0,https://scrapeme.live/shop/Nidorino/,https://scrapeme.live/wp-content/uploads/2018/08/033-350x350.png,9646,"Poison Pin, Pokemon","nidorino, Poison Pin, Poison Point",279,279 in stock,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might. Description Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",2
Nidoking,31.0,https://scrapeme.live/shop/Nidoking/,https://scrapeme.live/wp-content/uploads/2018/08/034-350x350.png,1159,"Drill, Pokemon","Drill, nidoking, Poison Point",178,178 in stock,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it. Description Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",2
Clefairy,160.0,https://scrapeme.live/shop/Clefairy/,https://scrapeme.live/wp-content/uploads/2018/08/035-350x350.png,3259,"Fairy, Pokemon","clefairy, Cute Charm, Fairy",86,86 in stock,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other. Description On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",3
Clefable,188.0,https://scrapeme.live/shop/Clefable/,https://scrapeme.live/wp-content/uploads/2018/08/036-350x350.png,9786,"Fairy, Pokemon","clefable, Cute Charm, Fairy",23,23 in stock,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights. Description Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",3
Vulpix,85.0,https://scrapeme.live/shop/Vulpix/,https://scrapeme.live/wp-content/uploads/2018/08/037-350x350.png,1440,"Fox, Pokemon","Flash Fire, Fox, vulpix",268,268 in stock,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot. Description Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",3
Ninetales,52.0,https://scrapeme.live/shop/Ninetales/,https://scrapeme.live/wp-content/uploads/2018/08/038-350x350.png,5173,"Fox, Pokemon","Flash Fire, Fox, ninetales",215,215 in stock,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech. Description Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,3
Jigglypuff,61.0,https://scrapeme.live/shop/Jigglypuff/,https://scrapeme.live/wp-content/uploads/2018/08/039-350x350.png,9180,"Balloon, Pokemon","Balloon, Cute Charm, jigglypuff",136,136 in stock,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life. Description When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",3
Wigglytuff,130.0,https://scrapeme.live/shop/Wigglytuff/,https://scrapeme.live/wp-content/uploads/2018/08/040-350x350.png,2733,"Balloon, Pokemon","Balloon, Cute Charm, wigglytuff",260,260 in stock,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon. Description Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",3
Zubat,125.0,https://scrapeme.live/shop/Zubat/,https://scrapeme.live/wp-content/uploads/2018/08/041-350x350.png,2584,"Bat, Pokemon","Bat, Inner Focus, zubat",154,154 in stock,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down. Description Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",3
Golbat,136.0,https://scrapeme.live/shop/Golbat/,https://scrapeme.live/wp-content/uploads/2018/08/042-350x350.png,5941,"Bat, Pokemon","Bat, golbat, Inner Focus",52,52 in stock,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon. Description Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",3
Oddish,45.0,https://scrapeme.live/shop/Oddish/,https://scrapeme.live/wp-content/uploads/2018/08/043-350x350.png,8337,"Pokemon, Weed","Chlorophyll, oddish, Weed",296,296 in stock,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees. Description Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",3
Gloom,178.0,https://scrapeme.live/shop/Gloom/,https://scrapeme.live/wp-content/uploads/2018/08/044-350x350.png,7374,"Pokemon, Weed","Chlorophyll, gloom, Weed",74,74 in stock,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey. Description From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",3
Vileplume,170.0,https://scrapeme.live/shop/Vileplume/,https://scrapeme.live/wp-content/uploads/2018/08/045-350x350.png,5295,"Flower, Pokemon","Chlorophyll, Flower, vileplume",283,283 in stock,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them. Description Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",3
Paras,168.0,https://scrapeme.live/shop/Paras/,https://scrapeme.live/wp-content/uploads/2018/08/046-350x350.png,9691,"Mushroom, Pokemon","Effect Spore, Mushroom, paras",192,192 in stock,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life. Description Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,3
Parasect,27.0,https://scrapeme.live/shop/Parasect/,https://scrapeme.live/wp-content/uploads/2018/08/047-350x350.png,4612,"Mushroom, Pokemon","Effect Spore, Mushroom, parasect",17,17 in stock,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once. Description Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",3
Venonat,158.0,https://scrapeme.live/shop/Venonat/,https://scrapeme.live/wp-content/uploads/2018/08/048-350x350.png,1329,"Insect, Pokemon","Compound Eyes, Insect, venonat",177,177 in stock,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey. Description Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",3
Venomoth,53.0,https://scrapeme.live/shop/Venomoth/,https://scrapeme.live/wp-content/uploads/2018/08/049-350x350.png,3503,"Poison Moth, Pokemon","Poison Moth, Shield Dust, venomoth",22,22 in stock,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness. Description Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",3
Diglett,122.0,https://scrapeme.live/shop/Diglett/,https://scrapeme.live/wp-content/uploads/2018/08/050-350x350.png,4383,"Mole, Pokemon","diglett, Mole, Sand Veil",227,227 in stock,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables. Description Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",3
Dugtrio,111.0,https://scrapeme.live/shop/Dugtrio/,https://scrapeme.live/wp-content/uploads/2018/08/051-350x350.png,7897,"Mole, Pokemon","dugtrio, Mole, Sand Veil",290,290 in stock,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly. Description Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",4
Meowth,131.0,https://scrapeme.live/shop/Meowth/,https://scrapeme.live/wp-content/uploads/2018/08/052-350x350.png,9594,"Pokemon, Scratch Cat","meowth, Pickup, Scratch Cat",203,203 in stock,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light. Description Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",4
Persian,200.0,https://scrapeme.live/shop/Persian/,https://scrapeme.live/wp-content/uploads/2018/08/053-350x350.png,3752,"Classy Cat, Pokemon","Classy Cat, persian, Technician",108,108 in stock,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers. Description Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,4
Psyduck,182.0,https://scrapeme.live/shop/Psyduck/,https://scrapeme.live/wp-content/uploads/2018/08/054-350x350.png,6470,"Duck, Pokemon","Damp, Duck, psyduck",214,214 in stock,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep. Description If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",4
Golduck,31.0,https://scrapeme.live/shop/Golduck/,https://scrapeme.live/wp-content/uploads/2018/08/055-350x350.png,8764,"Duck, Pokemon","Damp, Duck, golduck",278,278 in stock,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas. Description Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",4
Mankey,125.0,https://scrapeme.live/shop/Mankey/,https://scrapeme.live/wp-content/uploads/2018/08/056-350x350.png,5180,"Pig Monkey, Pokemon","mankey, Pig Monkey, Vital Spirit",209,209 in stock,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath. Description When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",4
Primeape,86.0,https://scrapeme.live/shop/Primeape/,https://scrapeme.live/wp-content/uploads/2018/08/057-350x350.png,3052,"Pig Monkey, Pokemon","Pig Monkey, primeape, Vital Spirit",68,68 in stock,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time. Description When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",4
Growlithe,30.0,https://scrapeme.live/shop/Growlithe/,https://scrapeme.live/wp-content/uploads/2018/08/058-350x350.png,1749,"Pokemon, Puppy","growlithe, Intimidate, Puppy",243,243 in stock,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things. Description Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",4
Arcanine,69.0,https://scrapeme.live/shop/Arcanine/,https://scrapeme.live/wp-content/uploads/2018/08/059-350x350.png,9267,"Legendary, Pokemon","arcanine, Intimidate, Legendary",14,14 in stock,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power. Description Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",4
Poliwag,174.0,https://scrapeme.live/shop/Poliwag/,https://scrapeme.live/wp-content/uploads/2018/08/060-350x350.png,6402,"Pokemon, Tadpole","Damp, poliwag, Tadpole",217,217 in stock,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it. Description Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",4
Poliwhirl,121.0,https://scrapeme.live/shop/Poliwhirl/,https://scrapeme.live/wp-content/uploads/2018/08/061-350x350.png,4447,"Pokemon, Tadpole","Damp, poliwhirl, Tadpole",139,139 in stock,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle. Description The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",4
